Cod Prodotto;Des Prodotto;Cod Uso Varieta;Des Uso Varieta;CODI_OCCU;CODI_DEST_USO;CODI_USO;CODI_QUAL;DESC_OCCU;DEST_USO;DESC_USO;DESC_QUAL
364;FLEOLO (CODA DI TOPO) PER LA PRODUZIONE DI SEME (SP. PHLEUM BERTOLINI (DC));000;VARIETA' GENERICA;364;008;000;000;FLEOLO (CODA DI TOPO)  (SP. PHLEUM BERTOLINI (DC));DA SEME;;
365;FLEOLO (CODA DI TOPO) PER LA PRODUZIONE DI SEME (SP. PHLEUM PRATENSE L.);000;VARIETA' GENERICA;365;008;000;000;FLEOLO (CODA DI TOPO) (SP. PHLEUM PRATENSE L.);DA SEME;;
366;LINO PER LA PRODUZIONE DI SEME (SP. LINUM USITATISSIMUM L. (LINO TESSILE));000;VARIETA' GENERICA;055;008;000;009;LINO;DA SEME;;DA FIBRA
367;LINO PER LA PRODUZIONE DI SEME (SP. LINUM USITATISSIMUM L. (LINO OLEOSO));000;VARIETA' GENERICA;055;008;000;008;LINO;DA SEME;;DA OLIO
368;LOIETTO PER LA PRODUZIONE DI SEME (SP. LOLIUM MULTIFLORUM LAM.);000;VARIETA' GENERICA;046;008;000;000;LOIETTO LOGLIO;DA SEME;;
369;LOIETTO PER LA PRODUZIONE DI SEME (SP. LOLIUM X BOUCHEANUM KUNT.);000;VARIETA' GENERICA;369;008;000;000;LOIETTO  (SP. LOLIUM X BOUCHEANUM KUNT.);DA SEME;;
370;LOIETTO PER LA PRODUZIONE DI SEME (SP. LOLIUM PERENNE L.);000;VARIETA' GENERICA;047;008;000;000;LOIETTO LOGLIO PERENNE/LOIETTO INGLESE;DA SEME;;
371;LUPINELLA PER LA PRODUZIONE DI SEME (SP. ONOBRICHIS VICIIFOLIA SCOP.);000;VARIETA' GENERICA;612;008;000;000;LUPINELLA;DA SEME;;
372;LUPOLINA PER LA PRODUZIONE DI SEME (SP. MEDICAGO LUPOLINA L.);000;VARIETA' GENERICA;051;008;000;000;LUPOLINA;DA SEME;;
373;PISELLI PER LA PRODUZIONE DI SEME (SP. PISUM SATIVUM L.);000;VARIETA' GENERICA;020;008;000;000;PISELLO;DA SEME;;
374;POA PER LA PRODUZIONE DI SEME (SP. POA NEMORALIS L. );000;VARIETA' GENERICA;374;008;000;000;POA (SP. POA NEMORALIS L. );DA SEME;;
375;POA PER LA PRODUZIONE DI SEME (SP. POA PRATENSIS L.);000;VARIETA' GENERICA;375;008;000;000;POA  (SP. POA PRATENSIS L.);DA SEME;;
376;POA PER LA PRODUZIONE DI SEME (SP. POA PALUSTRIS E POA TRIVIALIS L.);000;VARIETA' GENERICA;376;008;000;000;POA  (SP. POA PALUSTRIS E POA TRIVIALIS L.);DA SEME;;
377;SPELTA PER LA PRODUZIONE DI SEME (SP. TRITICUM SPELTA L.);000;VARIETA' GENERICA;045;008;000;000;SPELTA;DA SEME;;
378;SULLA PER LA PRODUZIONE DI SEME (SP. HEDYSARUM CORONARIUM L.);000;VARIETA' GENERICA;840;008;000;000;SULLA;DA SEME;;
379;TRIFOGLIO PER LA PRODUZIONE DI SEME (SP. TRIFOLIUM ALEXANDRINUM L.);000;VARIETA' GENERICA;379;008;000;000;TRIFOGLIO (SP. TRIFOLIUM ALEXANDRINUM L.);DA SEME;;
380;PRATI PERMANENTI NATURALI CON VINCOLI AMBIENTALI - TARA 20%;009;PASCOLO MAGRO NON AVVICENDATO PER ALMENO 5 ANNI - PERMANENTE;380;000;009;000;PRATI PERMANENTI NATURALI CON VINCOLI AMBIENTALI - TARA 20%;;PASCOLO MAGRO NON AVVICENDATO PER ALMENO 5 ANNI - PERMANENTE;
380;PRATI PERMANENTI NATURALI CON VINCOLI AMBIENTALI - TARA 20%;058;PASCOLO MAGRO NON AVVICENDATO PER ALMENO 5 ANNI - PERMANENTE - CON PENDENZA MAGGIORE DEL 30%;380;000;009;058;PRATI PERMANENTI NATURALI CON VINCOLI AMBIENTALI - TARA 20%;;PASCOLO MAGRO NON AVVICENDATO PER ALMENO 5 ANNI - PERMANENTE;CON PENDENZA MAGGIORE DEL 30%
381;TRIFOGLIO PER LA PRODUZIONE DI SEME (SP. TRIFOLIUM HYBRIDUM L.);000;VARIETA' GENERICA;381;008;000;000;TRIFOGLIO  (SP. TRIFOLIUM HYBRIDUM L.);DA SEME;;
382;PRATI PERMANENTI NATURALI CON VINCOLI AMBIENTALI - TARA 50%;009;PASCOLO MAGRO NON AVVICENDATO PER ALMENO 5 ANNI - PERMANENTE;382;000;009;000;PRATI PERMANENTI NATURALI CON VINCOLI AMBIENTALI - TARA 50%;;PASCOLO MAGRO NON AVVICENDATO PER ALMENO 5 ANNI - PERMANENTE;
382;PRATI PERMANENTI NATURALI CON VINCOLI AMBIENTALI - TARA 50%;058;PASCOLO MAGRO NON AVVICENDATO PER ALMENO 5 ANNI - PERMANENTE - CON PENDENZA MAGGIORE DEL 30%;382;000;009;058;PRATI PERMANENTI NATURALI CON VINCOLI AMBIENTALI - TARA 50%;;PASCOLO MAGRO NON AVVICENDATO PER ALMENO 5 ANNI - PERMANENTE;CON PENDENZA MAGGIORE DEL 30%
383;TRIFOGLIO PER LA PRODUZIONE DI SEME (SP. TRIFOLIUM INCARNATUM L.);000;VARIETA' GENERICA;383;008;000;000;TRIFOGLIO (SP. TRIFOLIUM INCARNATUM L.);DA SEME;;
384;TRIFOGLIO PER LA PRODUZIONE DI SEME (SP. TRIFOLIUM PRATENSE L.);000;VARIETA' GENERICA;384;008;000;000;TRIFOGLIO  (SP. TRIFOLIUM PRATENSE L.);DA SEME;;
385;TRIFOGLIO PER LA PRODUZIONE DI SEME (SP. TRIFOLIUM REPENS L.);000;VARIETA' GENERICA;385;008;000;000;TRIFOGLIO (SP. TRIFOLIUM REPENS L.);DA SEME;;
386;MARGINI DEI CAMPI SEMINABILI;000;;386;000;000;000;MARGINI DEI CAMPI SEMINABILI;;;
388;TRIFOGLIO PER LA PRODUZIONE DI SEME (SP. TRIFOLIUM RESUPINATUM L.);000;VARIETA' GENERICA;388;008;000;000;TRIFOGLIO (SP. TRIFOLIUM RESUPINATUM L.);DA SEME;;
389;VECCIA PER LA PRODUZIONE DI SEME (SP. VICIA SATIVA L.);000;VARIETA' GENERICA;389;008;000;000;VECCIA SATIVA;DA SEME;;
390;VECCIA PER LA PRODUZIONE DI SEME (SP. VICIA VILLOSA ROTH.);000;VARIETA' GENERICA;390;008;000;000;VECCIA VILLOSA;DA SEME;;
391;PRATI PERMANENTI NATURALI CON VINCOLI AMBIENTALI;009;PASCOLO MAGRO NON AVVICENDATO PER ALMENO 5 ANNI - PERMANENTE;391;000;009;000;PRATI PERMANENTI NATURALI CON VINCOLI AMBIENTALI;;PASCOLO MAGRO NON AVVICENDATO PER ALMENO 5 ANNI - PERMANENTE;
391;PRATI PERMANENTI NATURALI CON VINCOLI AMBIENTALI;058;PASCOLO MAGRO NON AVVICENDATO PER ALMENO 5 ANNI - PERMANENTE - CON PENDENZA MAGGIORE DEL 30%;391;000;009;058;PRATI PERMANENTI NATURALI CON VINCOLI AMBIENTALI;;PASCOLO MAGRO NON AVVICENDATO PER ALMENO 5 ANNI - PERMANENTE;CON PENDENZA MAGGIORE DEL 30%
392;ORTICA;000;;392;000;000;000;ORTICA;;;
393;PARTENIO;000;;393;000;000;000;PARTENIO;;;
394;PASSIFLORA (MARACUJA o FRUTTO DELLA PASSIONE);001;;394;000;000;000;PASSIFLORA (MARACUJA o FRUTTO DELLA PASSIONE);;;
